slug,title,first_line,book_slug,book_title,text,html_url,json_url,txt_url
amores-i,Amores I,consider O,tulips-and-chimneys,Tulips and Chimneys,"consider O
woman this
my body.
for it has

lain
with empty arms
upon the giddy hills
to dream of you,

approve these
firm unsated
eyes
which have beheld

night’s speechless carnival
the painting
of the dark
with meteors

streaming from playful
immortal hands
the bursting
of the wafted stars

(in time to come you shall
remember of this night amazing
esctasies    slowly,
in the glutted

heart fleet
flowerterrible
memories
shall

rise,slowly
return upon the
               red elected lips

scaleless visions)",https://cummings.ee/book/tulips-and-chimneys/poem/amores-i/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-i.txt
amores-ii,Amores II,there is a,tulips-and-chimneys,Tulips and Chimneys,"there is a
moon sole
in the blue
night

     amorous of waters
tremulous,
blinded with silence the
undulous heaven yearns where

in tense starlessness
anoint with ardor
the yellow lover

stands in the dumb dark
svelte
and
urgent

       (again
love i slowly
gather
of thy languorous mouth the

thrilling
flower)",https://cummings.ee/book/tulips-and-chimneys/poem/amores-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-ii.txt
amores-iii,Amores III,as is the sea marvelous,tulips-and-chimneys,Tulips and Chimneys,"as is the sea marvelous
from god’s
hands which sent her forth
to sleep upon the world

and the earth withers
the moon crumbles
one by one
stars flutter into dust

but the sea
does not change
and she goes forth out of hands and
she returns into hands

and is with sleep....

love,
     the breaking

of your
        soul
        upon
my lips",https://cummings.ee/book/tulips-and-chimneys/poem/amores-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-iii.txt
amores-iv,Amores IV,if i believe,tulips-and-chimneys,Tulips and Chimneys,"if i believe
in death be sure
of this
it is

because you have loved me,
moon and sunset
stars and flowers
gold crescendo and silver muting

of seatides
i trusted not,
              one night
when in my fingers

drooped your shining body
when my heart
sang between your perfect
breasts

darkness and beauty of stars
was on my mouth petals danced
against my eyes
and down

the singing reaches of
my soul
spoke
the green-

greeting pale-
departing irrevocable
sea
i knew thee death.

                  and when
i have offered up each fragrant
night,when all my days
shall have before a certain

face become
white
perfume
only,

     from the ashes
then
thou wilt rise and thou
wilt come to her and brush

the mischief from her eyes and fold
her
mouth the new
flower with

thy unimaginable
wings, where dwells the breath
of all persisting stars",https://cummings.ee/book/tulips-and-chimneys/poem/amores-iv/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-iv.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-iv.txt
amores-v,Amores V,the glory is fallen out of,tulips-and-chimneys,Tulips and Chimneys,"the glory is fallen out of
the sky the last immortal
leaf
is

dead and the gold
year
a formal spasm
in the

dust
this is the passing of all shining things
therefore we also
blandly

into receptive
earth,O let
us
descend

take
shimmering wind
these fragile splendors from
us crumple them hide

them in they breath drive
them in nothingness
for we
would sleep

this is the passing of all shining things
no lingering no backward-
wondering be unto
us O

soul,but straight
glad feet fearruining
and glorygirded
faces

lead us
into the
serious
steep

darkness",https://cummings.ee/book/tulips-and-chimneys/poem/amores-v/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-v.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-v.txt
amores-vi,Amores VI,i like,tulips-and-chimneys,Tulips and Chimneys,"i like
to think that on
the flower you gave me when we
loved

     the far-
departed mouth sweetly-saluted
lingers.
        if one marvel

seeing the hunger of my
lips for a dead thing,
i shall instruct
him silently with becoming

steps to seek
your face    and i
entreat,by certain foolish perfect
hours

     dead too,
if that he come receive
him as your lover sumptuously
being

kind
     because i trust him to
your grace,and for
in his own land

he is called death.",https://cummings.ee/book/tulips-and-chimneys/poem/amores-vi/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-vi.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-vi.txt
amores-vii,Amores VII,O Distinct,tulips-and-chimneys,Tulips and Chimneys,"O Distinct
Lady of my unkempt adoration
if i have made
a fragile certain

song under the window of your soul
it is not like any songs
(the singers the others
they have been faithful

to many things and which
die
i have been sometimes true
to Nothing and which lives

they were fond of the handsome
moon     never spoke ill of the
pretty stars     and to
the serene the complicated

and the obvious
they were faithful
and which I despise,
frankly

admitting i have been true
only to the noise of worms.
in the eligible day
under the unaccountable sun)

Distinct Lady
swiftly take
my fragile certain song
that we may watch together

how behind the doomed
exact smile of life’s
placid obscure palpable
carnival where to a normal

melody of probable violins dance
the square virtues and the oblong sins
perfectly
gesticulate the accurate

strenuous lips of incorruptible
Nothing     under the ample
sun,under the insufficient
day under the noise of worms",https://cummings.ee/book/tulips-and-chimneys/poem/amores-vii/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-vii.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-vii.txt
amores-viii,Amores VIII,"your little voice
                  Over the wires came leaping",tulips-and-chimneys,Tulips and Chimneys,"your little voice
                  Over the wires came leaping
and i felt suddenly
dizzy
      With the jostling and shouting of merry flowers
wee skipping high-heeled flames
courtesied before my eyes
                          or twinkling over to my side
Looked up
with impertinently exquisite faces
floating hands were laid upon me
I was whirled and tossed into delicious dancing
up
Up
with the pale important
                       stars and the Humorous
                                              moon
dear girl
How i was crazy how i cried when i heard
                                         over time
and tide and death
leaping
Sweetly
        your voice",https://cummings.ee/book/tulips-and-chimneys/poem/amores-viii/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-viii.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-viii.txt
chansons-innocentes-i,Chansons Innocentes I,in Just-,tulips-and-chimneys,Tulips and Chimneys,"in Just-
spring     when the world is mud-
luscious the little
lame balloonman

whistles    far    and wee

and eddieandbill come
running from marbles and
piracies and it’s
spring

when the world is puddle-wonderful

the queer
old balloonman whistles
far    and    wee
and bettyandisbel come dancing

from hop-scotch and jump-rope and

it’s
spring
and
   the

         goat-footed

balloonMan    whistles
far
and
wee",https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-i/,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-i.txt
chansons-innocentes-ii,Chansons Innocentes II,hist    whist,tulips-and-chimneys,Tulips and Chimneys,"hist    whist
little ghostthings
tip-toe
twinkle-toe

little twitchy
witches and tingling
goblins
hob-a-nob    hob-a-nob

little hoppy happy
toad in tweeds
tweeds
little itchy mousies

with scuttling
eyes    rustle and run    and
hidehidehide
whisk

whisk   look out for the old woman
with the wart on her nose
what she'll do to yer
nobody knows

for she knows the devil   ooch
the devil    ouch
the devil
ach      the great

green
dancing
devil
devil

devil
devil

        wheeEEE",https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-ii.txt
chansons-innocentes-iii,Chansons Innocentes III,"Tumbling-hair
              picker of buttercups
                                   violets",tulips-and-chimneys,Tulips and Chimneys,"Tumbling-hair
               picker of buttercups
                                    violets
dandelions
And the big bullying daisies
                              through the field wonderful
with eyes a little sorry
Another comes
               also picking flowers",https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-iii.txt
epithalamion,Epithalamion,undefined,tulips-and-chimneys,Tulips and Chimneys,"1.

Thou aged unreluctant earth who dost
with quivering continual thighs invite
the thrilling rain the slender paramour
to toy with thy extraordinary lust,
(the sinuous rain which rising from thy bed
steals to his wife the sky and hour by hour
wholly renews her pale flesh with delight)
—immortally whence are the high gods fled?

Speak elm eloquent pandar with thy nod
significant to the ecstatic earth
in token of his coming whom her soul
burns to embrace—and didst thou know the god
from but the imprint of whose cloven feet
the shrieking dryad sought her leafy goal,
at the mere echo of whose shining mirth
the furious hearts of mountains ceased to beat?

Wind beautifully who wanderest
over smooth pages of forgotten joy
proving the peaceful theorems of the flowers
—didst e'er depart upon more exquisite quest?
and did they fortunate fingers sometime dwell
(within a greener shadow of secret bowers)
among the curves of that delicious boy
whose serious grace one goddess loved too well?

Chryselephantine Zeus Olympian
sceptred colossus of the Pheidian soul
whose eagle frights creation,in whose palm
Nike presents the crown sweetest to man,
whose lilied robe the sun’s white hands emboss,
betwixt whose absolute feet anoint with calm
of intent stars circling the acerb pole
poises,smiling,the diadumenos

in whose young chiseled eyes the people saw
their once again victorious Pantarkes
(whose grace the prince of artists made him bold
to imitate between the feet of awe),
thunderer whose omnipotent brow showers
its curls of unendured eternal gold
over the infinite breast in bright degrees,
whose pillow is the graces and the hours,

father of gods and men whose subtle throne
twain sphinxes bear each with a writhing youth
caught to her brazen breasts,whose foot-stool tells
how fought the looser of the warlike zone
of her that brought forth tall Hippolytus,
lord on whose pedestal the deep expels
(over Selene’s car closing uncouth)
of Helios the sweet wheels tremulous—

are there no kings in Argos,that the song
is silent,of the steep unspeaking tower
within whose brightening strictness Danæ
saw the night severed and the glowing throng
descend,felt on her flesh the amorous strain
of gradual hands and yielding to that fee
her eager body's unimmortal flower
knew in the darkness a more burning rain?

2.

And still the mad magnificent herald Spring
assembles beauty from forgetfulness
with the wild trump of April:witchery
of sound and odour drives the wingless thing
man forth into bright air,for now the red
leaps in the maple’s cheek,and suddenly
by shining hordes in sweet unserious dress
ascends the golden crocus from the dead.

On dappled dawn forth rides the pungent sun
with hooded day preening upon his hand
followed by gay untimid final flowers
(which dressed in various tremulous armor stun
the eyes of the ragged earth who sees them pass)
while hunted from his kingdom winter cowers,
seeing green armies steadily expand
hearing the spear-song of the marching grass.

A silver sudden parody of snow
tickles the air to golden tears,and hark!
the flicker’s laughing yet,while on the hills
the pines deepen to whispers primeval and throw
backward their foreheads to the barbarous bright
sky,and suddenly from the valley thrills
the unimaginable upward lark
and drowns the earth and passes into light

(slowly in life’s serene perpetual round
a pale world gathers comfort to her soul,
hope richly scattered by the abundant sun
invades the new mosaic of the ground
—let but the incurious curtaining dusk be drawn
surpassing nets are sedulously spun
to snare the brutal dew,—the authentic scroll
of fairie hands and vanishing with dawn).

Spring,that omits no mention of desire
in every curved and curling thing,yet holds
continous intercourse—through skies and trees
the lilac’s smoke the poppy’s pompous fire
the pansy’s purple patience and the grave
frailty of daisies—by what rare unease
revealed of teasingly transparent folds—
with man’s poor soul superlatively brave.

Surely from robes of particoloured peace
with mouth flower-faint and undiscovered eyes
and dim slow perfect body amorous
(whiter than lilies which are born and cease
for being whiter than this world)exhales
the hovering high perfume curious
of that one month for whom the whole year dies,
risen at length from palpitating veils.

O still miraculous May!O shining girl
of time untarnished!O small intimate
gently primeval hands,frivolous feet
divine!O singular and breathless pearl!
O indefinable frail ultimate pose!
O visible beatitude sweet sweet
intolerable!silence immaculate
of god’s evasive audible great rose!

3.

Lover,lead forth thy love unto that bed
prepared by whitest hands of waiting years,
curtained with wordless worship absolute,
unto the certain altar at whose head
stands the clear candle whose expecting breath
exults upon the tongue of flame half-mute,
(haste e’er some thrush with silver several tears
complete the perfumed paraphrase of death).

Now is the time when all occasional things
close into silence,only one tree,one
svelte translation of eternity
unto the pale meaning of heaven clings,
(whose million leaves in winsome indolence
simmer upon thinking twilight momently)
as down the oblivious west’s numerous dun
magnificence conquers magnificence.

In heaven’s intolerable athanor
inimitably tortured the base day
utters at length her soft intrinsic hour,
and from those tenuous fires which more and more
sink and are lost the divine alchemist,
the magus of creation,lifts a flower—
whence is the world’s insufferable clay
clothed with incognizable amethyst.

Lady at whose imperishable smile
the amazed doves flicker upon sunny wings
as if in terror of eternity,
(or seeming that they would mistrust a while
the moving of beauteous dead mouths throughout
that very proud transparent company
of quivering ghosts-of-love which scarcely sings
drifting in slow diaphanous faint rout),

queen in the inconceivable embrace
of whose tremendous hair that blossom stands
whereof is most desire,yet less than those
twain perfect roses whose ambrosial grace,
goddess,thy crippled thunder-forging groom
of the loud lord of skipping mænads knows,—
having Discordia’s apple in thy hands,
which the scared shepherd gave thee for his doom—

O thou within the chancel of whose charms
the tall boy god of everlasting war
received the shuddering sacrament of sleep,
betwixt whose cool incorrigible arms
impaled upon delicious mystery,
with gaunt limbs reeking of the whispered deep,
deliberate groping ocean fondled o’er
the warm long flower of unchastity,

imperial Cytherea,from frail foam
sprung with irrevocable nakedness
to strike the young world into smoking song—
as the first star perfects the sensual dome
of darkness,and the sweet strong final bird
transcends the sight,O thou to whom belong
the hearts of lovers!—I beseech thee bless
thy suppliant singer and his wandering word.",https://cummings.ee/book/tulips-and-chimneys/poem/epithalamion/,https://cummings.ee/book/tulips-and-chimneys/poem/epithalamion.json,https://cummings.ee/book/tulips-and-chimneys/poem/epithalamion.txt
impressions-i,Impressions I,the sky a silver,tulips-and-chimneys,Tulips and Chimneys,"the sky a silver
dissonance by the correct
fingers of April
resolved

         into a
clutter of trite jewels

now like a moth with stumbling

wings flutters and flops along the
grass collides with trees and
houses and finally,
butts into the river",https://cummings.ee/book/tulips-and-chimneys/poem/impressions-i/,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-i.txt
impressions-ii,Impressions II,writhe and,tulips-and-chimneys,Tulips and Chimneys,"writhe and
gape of tortured

  perspective
  rasp and graze of splintered

normality
          crackle and
          sag
 of planes      clamors of
 collision
 collapse      As

peacefully,
lifted
into the awful beauty
                      of sunset

                      the young city
putting off dimension with a blush
enters
the becoming garden of her agony",https://cummings.ee/book/tulips-and-chimneys/poem/impressions-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-ii.txt
impressions-iii,Impressions III,i was considering how,tulips-and-chimneys,Tulips and Chimneys,"i was considering how
withing night’s loose
sack a star’s
nibbling in-

fin
-i-
tes-
i
-mal-
ly devours

darkness the
hungry star
which
will e

-ven
tu-
al
-ly jiggle
the bait of
dawn and be jerked

into

eternity.   when over my head a
shooting
star
Bur     s

         (t
           into a stale shriek
like an alarm-clock)",https://cummings.ee/book/tulips-and-chimneys/poem/impressions-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-iii.txt
impressions-iv,Impressions IV,the hours rise up putting off stars and it is,tulips-and-chimneys,Tulips and Chimneys,"the hours rise up putting off stars and it is
dawn
into the street of the sky light walks scattering poems

on earth a candle is
extinguished       the city
wakes
with a song upon her
mouth having death in her eyes

and it is dawn
the world
goes forth to murder dreams....

i see in the street where strong
men are digging bread
and i see the brutal faces of
people contented hideous hopeless cruel happy

and it is day,

in the mirror
i see a frail
man
dreaming
dreams
dreams in the mirror

and it
is dusk    on earth

a candle is lighted
and it is dark.
the people are in their houses
the frail main is in his bed
the city

sleeps with death upon her mouth having a song in her eyes
the hours descend,
putting on stars....

in the street of the sky night walks scattering poems",https://cummings.ee/book/tulips-and-chimneys/poem/impressions-iv/,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-iv.json,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-iv.txt
impressions-v,Impressions V,stinging,tulips-and-chimneys,Tulips and Chimneys,"stinging
gold swarms
upon the spires
silver

      chants the litanies the
great bells are ringing with rose
the lewd fat bells
                   and a tall

wind
is dragging
the
sea

with
dream

-S",https://cummings.ee/book/tulips-and-chimneys/poem/impressions-v/,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-v.json,https://cummings.ee/book/tulips-and-chimneys/poem/impressions-v.txt
la-guerre-i,La Guerre I,the bigness of cannon,tulips-and-chimneys,Tulips and Chimneys,"the bigness of cannon
is skilful,

but i have seen
death’s clever enormous voice
which hides in a fragility
of poppies....

i say that sometimes
on these long talkative animals
are laid fists of huger silence.

I have seen all the silence
filled with vivid noiseless boys

at Roupy
i have seen
between barrages,

the night utter ripe unspeaking girls.",https://cummings.ee/book/tulips-and-chimneys/poem/la-guerre-i/,https://cummings.ee/book/tulips-and-chimneys/poem/la-guerre-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/la-guerre-i.txt
la-guerre-ii,La Guerre II,O sweet spontaneous,tulips-and-chimneys,Tulips and Chimneys,"O sweet spontaneous
earth how often have
the
doting

      fingers of
prurient philosphers pinched
and
poked

thee
,has the naughty thumb
of science prodded
thy

   beauty     .how
often have religions taken
thee upon their scraggy knees
squeezing and

buffeting thee that thou mightest conceive
gods
    (but
true

to the incomparable
couch of death thy
rhythmic
lover

     thou answerest

them only with

               spring)",https://cummings.ee/book/tulips-and-chimneys/poem/la-guerre-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/la-guerre-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/la-guerre-ii.txt
of-nicolette,Of Nicolette,undefined,tulips-and-chimneys,Tulips and Chimneys,"dreaming in marble all the castle lay
like some gigantic ghost-flower born of night
blossoming in white towers to the moon,
soft sighed the passionate darkness to the tune
of tiny troubadours,and(phantom-white)
dumb-blooming boughs let fall their glorious snows,
and the unearthly sweetness of a rose
swam upward from the troubled heart of May;

a Winged Passion woke one by one
there fell upon the night,like angel's tears,
the syllables of that mysterious prayer,
and as an opening lily drowsy-fair
(when from her couch of poppy petals peers
the sleepy morning)gently draws apart
her curtains,and lays bare her trembling heart,
with beads of dew made jewels by the sun,

so one high shining tower(which as a glass
turned light to flame and blazed with snowy fire)
unfolding,gave the moon a nymphlike face,
a form whose snowy symmetry of grace
haunted the limbs of as music haunts the lyre,
a creature of white hands,who letting fall
a thread of lustre from the castle wall
gilded,a drop of radiance,to the grass—

shunning the sudden moonbeam's treacherous snare
she sought the harbouring dark,and(catching up
her delicate silk)all white,with shining feet,
went forth into the dew:right wildly beat
her heart at every kiss of daisy-cup,
and from her cheek beauteous colour went
with every bough that reverently bent
to touch the yellow wonder of her hair.",https://cummings.ee/book/tulips-and-chimneys/poem/of-nicolette/,https://cummings.ee/book/tulips-and-chimneys/poem/of-nicolette.json,https://cummings.ee/book/tulips-and-chimneys/poem/of-nicolette.txt
orientale-i,Orientale I,i spoke to thee,tulips-and-chimneys,Tulips and Chimneys,"i spoke to thee
with a smile and thou didst not
answer
they mouth is as
a chord of crimson music
                         Come hither
O thou,is life not a smile?

i spoke to thee with
a song and thou
didst not listen
thine eyes are as a vase
of divine silence
                  Come hither
O thou,is life not a song?

i spoke
to thee with a soul and
thou didst not wonder
they face is as a dream locked
in white fragrance
                   Come hither
O thou,is life not love?

i speak to
thee with a sword
and thou art silent
thy breast is as a tomb
softer than flowers
                    Come hither
O thou,is love not death?",https://cummings.ee/book/tulips-and-chimneys/poem/orientale-i/,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-i.txt
orientale-ii,Orientale II,lean candles hunger in,tulips-and-chimneys,Tulips and Chimneys,"lean candles hunger in
the silence a
brown god
smiles between greentwittering

smokes     from broken eyes
a sound
of strangling breasts and bestial
grovelling

hands rasps the purple
dark-
ness
a

worshipper
prostrate within twitching shadow
lolls

sobbing

with lust",https://cummings.ee/book/tulips-and-chimneys/poem/orientale-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-ii.txt
orientale-iii,Orientale III,my love,tulips-and-chimneys,Tulips and Chimneys,"my love
thy hair is one kingdom
  the king whereof is darkness
thy forehead is a flight of flowers

they head is a quick forest
  filled with sleeping birds
thy breasts are swarms of white bees
  upon the bough of thy body
thy body to me is April
in whose armpits is the approach of spring

thy thighs are white horses yoked to a chariot
  of kings
they are the striking of a good minstrel
between them is always a pleasant song

my love
thy head is a casket
  of the cool jewel of thy mind
the hair of thy head is one warrior
  innocent of defeat
thy hair upon thy shoulders is an army
  with victory and with trumpets
thy legs are the trees of dreaming
whose fruit is the very eatage of forgetfulness

thy lips are satraps in scarlet
  in whose kiss is the combining of kings
thy wrists
are holy
  which are the keepers of the keys of thy blood
thy feet upon thy ankles are flowers in vases
  of silver

in thy beauty is the dilemma of flutes

  thy eyes are the betrayal
of hells comprehended through incense",https://cummings.ee/book/tulips-and-chimneys/poem/orientale-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-iii.txt
orientale-iv,Orientale IV,listen,tulips-and-chimneys,Tulips and Chimneys,"listen
beloved
i dreamed
  it appeared that you thought to
  escape me and become a great
  lily atilt on
  insolent
  waters    but i was aware of
  fragrance and i came riding upon
  a horse of porphyry    into the
  water i rode down the red
  horse shrieking   from splintering
  foam caught you clutched you upon my
  mouth
listen
beloved
  i dreamed    in my dream you had
  desire to thwart me and became
  a little bird and hid
  in a tree of tall marble
  from a great way i distinguished
  singing and i came
  riding upon a scarlet sunset
  trampling the night    easily
  from the shocked impossible
  tower i caught
  you strained you
  broke you upon my blood
listen
  beloved i dreamed
  i thought you would have deceived
  me and become a star in the kingdom
  of heaven
  through day and space i saw you close
  your eyes    and i came riding
  upon a thousand crimson years arched with agony
  i reined them in tottering before
  the throne and as
  they shied at the automaton moon from
  the transplendent hand of sombre god
  i picked you
as an apple is picked by the little peasants for their girls",https://cummings.ee/book/tulips-and-chimneys/poem/orientale-iv/,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-iv.json,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-iv.txt
orientale-v,Orientale V,unto thee i,tulips-and-chimneys,Tulips and Chimneys,"unto thee i
burn incense
the bowl crackles
upon the gloom arise purple pencils

fluent spires of frangrance
the bowl
seethes
a flutter of stars

a turbulence of forms
delightful with indefinable flowering,
the air is
deep with desirable flowers

i think
thou lovest incense
for in the ambigious faint aspirings
the indolent frail ascensions,

of thy smile rises the immaculate
sorrow
of thy low
hair flutter the level litanies

unto thee i burn
incense,over the dim smoke
straining my lips are vague with
ectasy my palpitating breasts inhale the

slow
supple
flower
of thy beauty,my heart discovers thee

unto
whom i
burn
olbanum",https://cummings.ee/book/tulips-and-chimneys/poem/orientale-v/,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-v.json,https://cummings.ee/book/tulips-and-chimneys/poem/orientale-v.txt
portraits-ii,Portraits II,of evident invisibles,tulips-and-chimneys,Tulips and Chimneys,"of evident invisibles
exquisite the hovering

at the dark portals

of hurt girl eyes


sincere with wonder

a poise a wounding
a beautiful suppression

the accurate boy mouth


now droops the faun head

now the intimate flower dreams

of parted lips
dim upon the syrinx",https://cummings.ee/book/tulips-and-chimneys/poem/portraits-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-ii.txt
portraits-iii,Portraits III,between nose-red gross,tulips-and-chimneys,Tulips and Chimneys,"between nose-red gross
walls    sprawling with tipsy
tables the abominable
floor belches smoky

laughter into the filigree
frame of a microscope
stage whose jouncing curtain.    ,rises
upon one startling doll

undressed in unripe green with
nauseous spiderlegs
and excremental
hair and the eyes of the mother of

god who spits seeds of dead
song about home and love from her
transfigured face a queer
pulp of ecstacy

while in the battered
bodies the odd unlovely
souls struggle    slowly    and    writhe
like caught.brave:flies;",https://cummings.ee/book/tulips-and-chimneys/poem/portraits-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-iii.txt
portraits-iv,Portraits IV,i walked the boulevard,tulips-and-chimneys,Tulips and Chimneys,"i walked the boulevard

i saw a dirty child
skating on noisy wheels of joy

pathetic dress fluttering


behind her a mothermonster
with red grumbling face

cluttered in pursuit

pleasantly elephantine


while nearby the father

a thick cheerful man

with majestic bulbous lips
and forlorn piggish hands


joked to a girlish whore

with buy rhythmic mouth
and silly purple eyelids

of how she was with child",https://cummings.ee/book/tulips-and-chimneys/poem/portraits-iv/,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-iv.json,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-iv.txt
portraits-ix,Portraits IX,spring omnipotent goddess thou dost,tulips-and-chimneys,Tulips and Chimneys,"spring omnipotent goddess thou dost
inveigle into crossing sidewalks the
unwary june-bug and the frivolous angleworm
thou dost persuade to serenade his
lady the musical tom-cat,thou stuffest
the parks with overgrown pimply
cavaliers and gumchewing giggly
girls and not content
Spring,with this
thou hangest canary-birds in parlor windows

spring slattern of seasons you
have dirty legs and a muddy
petticoat,drowsy is your
mouth your eyes are sticky
with dreams and you have
a sloppy body
from being brought to bed of crocuses
When you sing in your whiskey-voice
                                    the grass

rises on the head of the earth
and all the trees are put on edge

spring,
of the jostle of
they breasts and the slobber
of your thighs
i am so very
             glad that the soul inside me Hollers
for thou comest and your hands
are the snow
and thy fingers are the rain,
and i hear
the screetch of dissonant
flowers,and most of all
i hear you stepping
                   freakish feet
                   feet incorrigible
ragging the world,",https://cummings.ee/book/tulips-and-chimneys/poem/portraits-ix/,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-ix.json,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-ix.txt
portraits-v,Portraits V,the young,tulips-and-chimneys,Tulips and Chimneys,"the young
man sitting
in Dick Mid’s Place
said to Death

teach me of her
Thy yonder servant who
in Thy very house silently
sits looking beyond the

kissing and striving of
that old man who at her
redstone mouth renews his
childhood

and He
said
“willingly
for the tale is short

it was
i think yourself delivered into
both my hands herself to
always keep”

always?
the young
man sitting in Dick Mid’s
Place

asked
“always”
Death
said

“then as i recollect her
girlhood was by the kindly
lips and body fatherly of a
romantic tired business man

somewhat tweaked and dinted
then
did my servant
become of the company of those

ladies with faces painteaten
and bodies lightly
desperate certainly wherefrom
departed is youth’s indispensable

illusion”",https://cummings.ee/book/tulips-and-chimneys/poem/portraits-v/,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-v.json,https://cummings.ee/book/tulips-and-chimneys/poem/portraits-v.txt
